Feature Model,Model,Parameters,Accuracy,Precision,Recall,F1-Score,Time Taken (s),Class Names
ResNet50,SVC,kernel: rbf,0.7269230769230769,0.7759103641456583,0.5758835758835759,0.6610978520286396,583.6922552585602,"Healthy, Reject"
ResNet50,SVC,kernel: linear,0.8240384615384615,0.791015625,0.841995841995842,0.8157099697885196,135.2153570652008,"Healthy, Reject"
ResNet50,Decision Tree,max_depth: None,0.6673076923076923,0.6445396145610278,0.6257796257796258,0.6350210970464135,22.978591918945312,"Healthy, Reject"
ResNet50,Decision Tree,max_depth: 5,0.6721153846153847,0.6977401129943502,0.5135135135135135,0.5916167664670658,16.8117036819458,"Healthy, Reject"
ResNet50,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.7894230769230769,0.8046511627906977,0.7193347193347194,0.7596048298572997,34.248701333999634,"Healthy, Reject"
ResNet50,KNN,n_neighbors: 5,0.7442307692307693,0.7342047930283224,0.7006237006237006,0.7170212765957445,6.362941026687622,"Healthy, Reject"
InceptionV3,SVC,kernel: rbf,0.9317307692307693,0.930672268907563,0.920997920997921,0.9258098223615464,187.38732814788818,"Healthy, Reject"
InceptionV3,SVC,kernel: linear,0.9288461538461539,0.9230769230769231,0.9230769230769231,0.9230769230769231,72.13034009933472,"Healthy, Reject"
InceptionV3,Decision Tree,max_depth: None,0.7903846153846154,0.7745302713987474,0.7713097713097713,0.7729166666666667,117.41095662117004,"Healthy, Reject"
InceptionV3,Decision Tree,max_depth: 5,0.7942307692307692,0.7883369330453563,0.7588357588357588,0.7733050847457626,37.2236430644989,"Healthy, Reject"
InceptionV3,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8846153846153846,0.8752598752598753,0.8752598752598753,0.8752598752598754,45.40360927581787,"Healthy, Reject"
InceptionV3,KNN,n_neighbors: 5,0.8951923076923077,0.9096916299559471,0.8586278586278586,0.8834224598930481,2.4138224124908447,"Healthy, Reject"
MobileNetV2,SVC,kernel: rbf,0.9326923076923077,0.949671772428884,0.9022869022869023,0.9253731343283582,337.88452076911926,"Healthy, Reject"
MobileNetV2,SVC,kernel: linear,0.948076923076923,0.9494736842105264,0.9376299376299376,0.9435146443514645,95.41051697731018,"Healthy, Reject"
MobileNetV2,Decision Tree,max_depth: None,0.8134615384615385,0.8126361655773421,0.7754677754677755,0.7936170212765956,68.39631080627441,"Healthy, Reject"
MobileNetV2,Decision Tree,max_depth: 5,0.7855769230769231,0.763265306122449,0.7775467775467776,0.7703398558187436,21.82451057434082,"Healthy, Reject"
MobileNetV2,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.9153846153846154,0.9225806451612903,0.8918918918918919,0.9069767441860466,20.207401514053345,"Healthy, Reject"
MobileNetV2,KNN,n_neighbors: 5,0.864423076923077,0.8586497890295358,0.8461538461538461,0.8523560209424083,4.158510446548462,"Healthy, Reject"
DenseNet121,SVC,kernel: rbf,0.9586538461538462,0.9699570815450643,0.9397089397089398,0.9545934530095037,190.35888528823853,"Healthy, Reject"
DenseNet121,SVC,kernel: linear,0.9682692307692308,0.9725738396624473,0.9584199584199584,0.9654450261780105,67.0171868801117,"Healthy, Reject"
DenseNet121,Decision Tree,max_depth: None,0.8490384615384615,0.8417721518987342,0.8295218295218295,0.8356020942408376,100.79532241821289,"Healthy, Reject"
DenseNet121,Decision Tree,max_depth: 5,0.8432692307692308,0.8613636363636363,0.7879417879417879,0.8230184581976113,35.51906633377075,"Healthy, Reject"
DenseNet121,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.925,0.9314775160599572,0.9043659043659044,0.9177215189873418,44.80385065078735,"Healthy, Reject"
DenseNet121,KNN,n_neighbors: 5,0.8788461538461538,0.8867102396514162,0.8461538461538461,0.8659574468085107,2.2460975646972656,"Healthy, Reject"
EfficientNetB0,SVC,kernel: rbf,0.8076923076923077,0.8215102974828375,0.7463617463617463,0.7821350762527233,344.54274892807007,"Healthy, Reject"
EfficientNetB0,SVC,kernel: linear,0.8730769230769231,0.8539553752535497,0.8752598752598753,0.864476386036961,196.83759117126465,"Healthy, Reject"
EfficientNetB0,Decision Tree,max_depth: None,0.7336538461538461,0.7142857142857143,0.7068607068607069,0.71055381400209,188.6190803050995,"Healthy, Reject"
EfficientNetB0,Decision Tree,max_depth: 5,0.7365384615384616,0.740139211136891,0.6632016632016632,0.699561403508772,74.31646203994751,"Healthy, Reject"
EfficientNetB0,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8365384615384616,0.8510158013544018,0.7837837837837838,0.8160173160173161,59.636592626571655,"Healthy, Reject"
EfficientNetB0,KNN,n_neighbors: 5,0.7682692307692308,0.7222222222222222,0.8108108108108109,0.7639569049951028,4.0253777503967285,"Healthy, Reject"
