Feature Model,Model,Parameters,Accuracy,Precision,Recall,F1-Score,Time Taken (s),Class Names
ResNet50,SVC,kernel: rbf,0.7038461538461539,0.7156398104265402,0.578544061302682,0.6398305084745762,637.3335466384888,"Ripe, Unripe, Old, Damaged"
ResNet50,SVC,kernel: linear,0.8115384615384615,0.7434944237918215,0.7662835249042146,0.7547169811320754,146.51503443717957,"Ripe, Unripe, Old, Damaged"
ResNet50,Decision Tree,max_depth: None,0.6163461538461539,0.5673469387755102,0.5325670498084292,0.5494071146245059,23.046897411346436,"Ripe, Unripe, Old, Damaged"
ResNet50,Decision Tree,max_depth: 5,0.6105769230769231,0.5291828793774319,0.5210727969348659,0.5250965250965252,16.487854480743408,"Ripe, Unripe, Old, Damaged"
ResNet50,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.7586538461538461,0.7375,0.6781609195402298,0.7065868263473054,36.44450640678406,"Ripe, Unripe, Old, Damaged"
ResNet50,KNN,n_neighbors: 5,0.6586538461538461,0.5581395348837209,0.6436781609195402,0.597864768683274,6.362997770309448,"Ripe, Unripe, Old, Damaged"
InceptionV3,SVC,kernel: rbf,0.9240384615384616,0.8801498127340824,0.9003831417624522,0.8901515151515151,232.86266160011292,"Ripe, Unripe, Old, Damaged"
InceptionV3,SVC,kernel: linear,0.9365384615384615,0.9254901960784314,0.9042145593869731,0.9147286821705427,77.87925052642822,"Ripe, Unripe, Old, Damaged"
InceptionV3,Decision Tree,max_depth: None,0.7240384615384615,0.6726618705035972,0.7164750957854407,0.6938775510204082,91.63402557373047,"Ripe, Unripe, Old, Damaged"
InceptionV3,Decision Tree,max_depth: 5,0.7269230769230769,0.6722972972972973,0.7624521072796935,0.7145421903052065,39.108378171920776,"Ripe, Unripe, Old, Damaged"
InceptionV3,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8836538461538461,0.8301158301158301,0.8237547892720306,0.8269230769230769,45.53871273994446,"Ripe, Unripe, Old, Damaged"
InceptionV3,KNN,n_neighbors: 5,0.8826923076923077,0.8297101449275363,0.8773946360153256,0.8528864059590316,2.3896067142486572,"Ripe, Unripe, Old, Damaged"
MobileNetV2,SVC,kernel: rbf,0.926923076923077,0.8977272727272727,0.9080459770114943,0.9028571428571429,363.9918088912964,"Ripe, Unripe, Old, Damaged"
MobileNetV2,SVC,kernel: linear,0.9596153846153846,0.9245283018867925,0.9386973180076629,0.9315589353612168,111.61978483200073,"Ripe, Unripe, Old, Damaged"
MobileNetV2,Decision Tree,max_depth: None,0.7567307692307692,0.7116788321167883,0.7471264367816092,0.7289719626168224,53.84160017967224,"Ripe, Unripe, Old, Damaged"
MobileNetV2,Decision Tree,max_depth: 5,0.7317307692307692,0.7298387096774194,0.6934865900383141,0.7111984282907663,21.69757652282715,"Ripe, Unripe, Old, Damaged"
MobileNetV2,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8951923076923077,0.842911877394636,0.842911877394636,0.8429118773946361,20.319940090179443,"Ripe, Unripe, Old, Damaged"
MobileNetV2,KNN,n_neighbors: 5,0.8384615384615385,0.7436708860759493,0.9003831417624522,0.8145580589254766,4.003216028213501,"Ripe, Unripe, Old, Damaged"
DenseNet121,SVC,kernel: rbf,0.9490384615384615,0.9128787878787878,0.9233716475095786,0.9180952380952381,229.7581284046173,"Ripe, Unripe, Old, Damaged"
DenseNet121,SVC,kernel: linear,0.9701923076923077,0.9465648854961832,0.9501915708812261,0.9483747609942639,73.29996824264526,"Ripe, Unripe, Old, Damaged"
DenseNet121,Decision Tree,max_depth: None,0.8221153846153846,0.8062015503875969,0.7969348659003831,0.8015414258188825,108.08857226371765,"Ripe, Unripe, Old, Damaged"
DenseNet121,Decision Tree,max_depth: 5,0.8173076923076923,0.7482517482517482,0.8199233716475096,0.7824497257769654,34.99536395072937,"Ripe, Unripe, Old, Damaged"
DenseNet121,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.9096153846153846,0.8566037735849057,0.8697318007662835,0.8631178707224334,43.11447286605835,"Ripe, Unripe, Old, Damaged"
DenseNet121,KNN,n_neighbors: 5,0.8865384615384615,0.8181818181818182,0.8620689655172413,0.8395522388059702,2.1700663566589355,"Ripe, Unripe, Old, Damaged"
EfficientNetB0,SVC,kernel: rbf,0.8375,0.7977099236641222,0.8007662835249042,0.7992351816443595,349.2374885082245,"Ripe, Unripe, Old, Damaged"
EfficientNetB0,SVC,kernel: linear,0.8788461538461538,0.9053497942386831,0.842911877394636,0.873015873015873,100.20824193954468,"Ripe, Unripe, Old, Damaged"
EfficientNetB0,Decision Tree,max_depth: None,0.7,0.6492537313432836,0.6666666666666666,0.6578449905482042,181.0434763431549,"Ripe, Unripe, Old, Damaged"
EfficientNetB0,Decision Tree,max_depth: 5,0.6615384615384615,0.56,0.7509578544061303,0.6415711947626841,77.47373819351196,"Ripe, Unripe, Old, Damaged"
EfficientNetB0,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8365384615384616,0.7773722627737226,0.8160919540229885,0.7962616822429905,60.74596452713013,"Ripe, Unripe, Old, Damaged"
EfficientNetB0,KNN,n_neighbors: 5,0.7355769230769231,0.6548387096774193,0.7777777777777778,0.7110332749562173,4.0249924659729,"Ripe, Unripe, Old, Damaged"
