Feature Model,Model,Parameters,Accuracy,Precision,Recall,F1-Score,Time Taken (s),Class Names
ResNet50,SVC,kernel: rbf,0.7048076923076924,0.6306532663316583,0.8096774193548387,0.7090395480225989,613.5724415779114,"Ripe, Unripe, Reject"
ResNet50,SVC,kernel: linear,0.8057692307692308,0.7931034482758621,0.8161290322580645,0.8044515103338632,143.2539360523224,"Ripe, Unripe, Reject"
ResNet50,Decision Tree,max_depth: None,0.6278846153846154,0.591044776119403,0.6387096774193548,0.613953488372093,22.309104204177856,"Ripe, Unripe, Reject"
ResNet50,Decision Tree,max_depth: 5,0.6240384615384615,0.574585635359116,0.6709677419354839,0.6190476190476191,16.523211002349854,"Ripe, Unripe, Reject"
ResNet50,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.7471153846153846,0.7416107382550335,0.7129032258064516,0.7269736842105262,35.375394344329834,"Ripe, Unripe, Reject"
ResNet50,KNN,n_neighbors: 5,0.6961538461538461,0.6584699453551912,0.7774193548387097,0.71301775147929,6.272138357162476,"Ripe, Unripe, Reject"
InceptionV3,SVC,kernel: rbf,0.9336538461538462,0.9153094462540716,0.9064516129032258,0.9108589951377634,219.9840383529663,"Ripe, Unripe, Reject"
InceptionV3,SVC,kernel: linear,0.95,0.9281045751633987,0.9161290322580645,0.922077922077922,75.66384315490723,"Ripe, Unripe, Reject"
InceptionV3,Decision Tree,max_depth: None,0.7740384615384616,0.73125,0.7548387096774194,0.7428571428571429,117.43483185768127,"Ripe, Unripe, Reject"
InceptionV3,Decision Tree,max_depth: 5,0.7644230769230769,0.6975308641975309,0.7290322580645161,0.7129337539432177,38.15820670127869,"Ripe, Unripe, Reject"
InceptionV3,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8942307692307693,0.9007352941176471,0.7903225806451613,0.8419243986254296,46.55578136444092,"Ripe, Unripe, Reject"
InceptionV3,KNN,n_neighbors: 5,0.8826923076923077,0.8214285714285714,0.8903225806451613,0.8544891640866873,2.369192123413086,"Ripe, Unripe, Reject"
MobileNetV2,SVC,kernel: rbf,0.9192307692307692,0.9153094462540716,0.9064516129032258,0.9108589951377634,339.0027437210083,"Ripe, Unripe, Reject"
MobileNetV2,SVC,kernel: linear,0.9538461538461539,0.9446254071661238,0.9354838709677419,0.940032414910859,97.4972505569458,"Ripe, Unripe, Reject"
MobileNetV2,Decision Tree,max_depth: None,0.7673076923076924,0.6934984520123839,0.7225806451612903,0.707740916271722,60.78019595146179,"Ripe, Unripe, Reject"
MobileNetV2,Decision Tree,max_depth: 5,0.7519230769230769,0.6612021857923497,0.7806451612903226,0.7159763313609467,22.354900360107422,"Ripe, Unripe, Reject"
MobileNetV2,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.9048076923076923,0.9136690647482014,0.8193548387096774,0.8639455782312925,19.993927001953125,"Ripe, Unripe, Reject"
MobileNetV2,KNN,n_neighbors: 5,0.8509615384615384,0.7888888888888889,0.9161290322580645,0.8477611940298507,4.016225814819336,"Ripe, Unripe, Reject"
DenseNet121,SVC,kernel: rbf,0.9605769230769231,0.9455128205128205,0.9516129032258065,0.9485530546623794,207.94681191444397,"Ripe, Unripe, Reject"
DenseNet121,SVC,kernel: linear,0.9730769230769231,0.9644012944983819,0.9612903225806452,0.9628432956381261,63.27543616294861,"Ripe, Unripe, Reject"
DenseNet121,Decision Tree,max_depth: None,0.8278846153846153,0.8206896551724138,0.7677419354838709,0.7933333333333332,97.13134217262268,"Ripe, Unripe, Reject"
DenseNet121,Decision Tree,max_depth: 5,0.8317307692307693,0.8281786941580757,0.7774193548387097,0.8019966722129784,35.63603615760803,"Ripe, Unripe, Reject"
DenseNet121,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.9211538461538461,0.9350180505415162,0.8354838709677419,0.8824531516183987,44.060879707336426,"Ripe, Unripe, Reject"
DenseNet121,KNN,n_neighbors: 5,0.8951923076923077,0.8333333333333334,0.9354838709677419,0.8814589665653495,2.210381269454956,"Ripe, Unripe, Reject"
EfficientNetB0,SVC,kernel: rbf,0.8365384615384616,0.8291139240506329,0.8451612903225807,0.8370607028753995,339.8757576942444,"Ripe, Unripe, Reject"
EfficientNetB0,SVC,kernel: linear,0.9028846153846154,0.9123376623376623,0.9064516129032258,0.9093851132686085,92.79980564117432,"Ripe, Unripe, Reject"
EfficientNetB0,Decision Tree,max_depth: None,0.7298076923076923,0.7138461538461538,0.7483870967741936,0.7307086614173227,174.67887139320374,"Ripe, Unripe, Reject"
EfficientNetB0,Decision Tree,max_depth: 5,0.7009615384615384,0.6695156695156695,0.7580645161290323,0.7110438729198185,74.7541925907135,"Ripe, Unripe, Reject"
EfficientNetB0,Random Forest,"n_estimators: 100, max_depth: None, random_state: 42",0.8326923076923077,0.8683274021352313,0.7870967741935484,0.8257191201353639,60.7750301361084,"Ripe, Unripe, Reject"
EfficientNetB0,KNN,n_neighbors: 5,0.7548076923076923,0.7724358974358975,0.7774193548387097,0.7749196141479101,3.971085548400879,"Ripe, Unripe, Reject"
